scheme_id,scheme_name,department,scheme_category,description,age_min,age_max,gender_requirement,annual_income_limit,occupation_requirement,education_requirement,student_status_requirement,marital_status_requirement,widow_status_requirement,disability_requirement,disability_percentage_min,bpl_requirement,destitute_requirement,land_requirement,asset_limit,family_condition,school_type_requirement,district_requirement,benefit_description,required_documents,application_method,official_source_url,source_access_date,eligibility_notes,ml_scope,eligibility_rule_status
TN-SW-001,Moovalur Ramamirtham Ammaiyar Ninaivu Pudhumai Penn Thittam,Social Welfare and Women Empowerment Department,Higher education assurance,"Higher education assurance scheme to raise enrolment of girl students from Government schools in undergraduate degree, diploma and ITI courses.",,,Female,,,"Must pursue a recognised first undergraduate degree, diploma or ITI course",Must be a student in the first higher-education course,,,,,,,,,Any number of eligible girl students in a family may receive the incentive,Studied Classes 6 to 12 in Government schools,,"Rs. 1,000 per month by Direct Benefit Transfer until uninterrupted completion of the first higher-education course. Payable in addition to other scholarships.",NEEDS VERIFICATION,Online through the Penkalvi portal; girl students can apply directly,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,2026-08-14,Official page also names the scheme Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme. The announcement text refers to girls from economically weaker families but does not state a numeric income ceiling. Confirmed supporting portal: https://pudhumaipenn.tn.gov.in/. Required documents were not listed on the primary page.,CORE,PARTIALLY_VERIFIED
TN-SW-002,Tamil Pudhalvan Scheme,Social Welfare and Women Empowerment Department,Higher education assurance,Higher education support for boy students from Government schools and Government-aided schools who studied in Tamil medium.,,,Male,,,"Must pursue a recognised first undergraduate degree, diploma or ITI course",Must be a student in the first higher-education course,,,,,,,,,Any number of eligible boy students in a family may receive the incentive,Studied Classes 6 to 12 in Government schools and Government-aided schools in Tamil medium,,"Rs. 1,000 per month by Direct Benefit Transfer until uninterrupted completion of the first higher-education course. Payable in addition to other scholarships.",NEEDS VERIFICATION,Online portal named on the official page; exact portal name NEEDS VERIFICATION,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/tamil-pudhalvan,2026-08-14,Official page states the scheme was announced in the Budget Speech on 19 February 2024. The page text refers to economically weaker families but does not state a numeric income ceiling. Required documents were not listed on the primary page.,CORE,PARTIALLY_VERIFIED
TN-SW-003,Chief Minister's Girl Child Protection Scheme,Social Welfare and Women Empowerment Department,Child welfare,Scheme to prevent gender discrimination and support education of girl children through a government fixed deposit.,,18,Female,120000,,Girl child should appear for the 10th standard public examination to receive the matured deposit,,,,,,,,,,"Family with only one girl child, or only two girl children; either parent must have undergone sterilisation before age 40",,,"Fixed deposit of Rs. 50,000 for a one-girl-child family, or deposits in the names of two girl children for a two-girl-child family, with Tamil Nadu Power Finance and Infrastructure Development Corporation Limited. Deposit is renewed every 5 years and paid with interest at age 18. Annual incentive of Rs. 1,800 from the 6th year of deposit.",NEEDS VERIFICATION,NEEDS VERIFICATION,https://www.tnsocialwelfare.tn.gov.in/en/specilisationschild-welfare/chief-ministers-girl-child-protection-scheme,2026-08-14,"age_max=18 is the age at which the matured deposit is paid, not an application-age ceiling. The official page does not state a minimum application age. Required documents and application channel were not listed on the primary page.",ADVANCED,PARTIALLY_VERIFIED
TN-KMUT-001,Kalaingar Magalir Urimai Thogai,NEEDS VERIFICATION,Women social security,Monthly rights grant recognising unpaid work of women and supporting livelihood of eligible female heads of family.,21,,"Female; unmarried single women, widows, and transgender-headed families may also be treated as family head",250000,"Family is ineligible if a member is a State or Union Government / public-sector / bank / board / local-body / cooperative employee or pensioner, or an elected representative other than a village panchayat ward member",,,,,,,,,"Wet land less than 5 acres, or dry land less than 10 acres","Household electricity use below 3600 units a year; no personal four-wheeler such as car, jeep, tractor or heavy vehicle; GST turnover above Rs. 50 lakh makes the family ineligible","One eligible woman aged 21 or above per family card; if the card lists a male head, his wife is treated as female head; family members choose one applicant if several women are aged 21 or above",,,"Rs. 1,000 per month (Rs. 12,000 a year) credited to the beneficiary bank account.",Aadhaar card; family card; Aadhaar-linked bank account. Official FAQ states a separate income certificate or land document is not required with the application.,e-Sevai centres; appeals to the Revenue Divisional Officer through e-Sevai within 30 days of rejection SMS,https://kmut.tn.gov.in/faq.html,2026-08-14,"Official portal title uses the spelling Kalaingar. Supporting pages: https://kmut.tn.gov.in/ and https://kmut.tn.gov.in/about-kmut.html. Nodal department English title was not stated as a single department name on the pages read; TNeGA copyright appears on the portal and appeals go to Revenue. Families already receiving old-age pension, widow pension, unorganised-worker welfare-board pension, or government pension are ineligible. Income-tax or professional-tax payers above Rs. 2.5 lakh are ineligible. A government-allotted house is not by itself a bar if other criteria are met.",ADVANCED,PARTIALLY_VERIFIED
TN-SW-004,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,Social Welfare and Women Empowerment Department,Marriage assistance,Financial assistance for remarriage of widows.,,,Female,,,Official page states no educational qualification is prescribed; higher cash amount is paid to degree or diploma holders,,Widow remarriage,Applicant must be a widow remarrying,,,,,,,,,,"Rs. 15,000 through ECS and Rs. 10,000 as National Savings Certificate plus 8 gram 22 carat gold coin. Degree or diploma holders: Rs. 30,000 through ECS and Rs. 20,000 as National Savings Certificate plus 8 gram 22 carat gold coin.",NEEDS VERIFICATION,Listed on TNeGA e-Sevai as SWL-105; detailed office procedure NEEDS VERIFICATION,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,2026-08-14,"Official page states there is no income ceiling. The Social Welfare Department page on the Prohibition of Child Marriage Act says marriage assistance schemes are designed so benefits reach a girl who has completed 18 years of age; a scheme-specific age field was not printed on the marriage-assistance page, so age_min is left empty. Same primary URL as other marriage-assistance rows; scheme_name differs.",CORE,PARTIALLY_VERIFIED
TN-SW-005,E.V.R. Maniammaiyar Ninaivu Marriage Assistance Scheme for Daughters of Poor Widows,Social Welfare and Women Empowerment Department,Marriage assistance,Marriage assistance for daughters of poor widows.,,,Female,,,NEEDS VERIFICATION,,Bride at the time of marriage,Beneficiary is the daughter of a poor widow,,,,,,,Daughter of a poor widow,,,"Rs. 25,000 plus 8 gram 22 carat gold coin. For a graduate, Rs. 50,000 plus 8 gram gold coin.",NEEDS VERIFICATION,Listed on TNeGA e-Sevai as SWL-107; detailed office procedure NEEDS VERIFICATION,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,2026-08-14,"CONFLICT: the same department publishes an annual family income ceiling of Rs. 72,000 at https://www.tnsocialwelfare.tn.gov.in/en/specilisations/women-welfare and Rs. 1,20,000 at https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes. annual_income_limit is left empty. Education for this named scheme is not separately itemised beyond the graduate higher-benefit amount. age_min left empty; department child-marriage page says marriage assistance is designed for girls who have completed 18 years. Phase 2.1 re-check (2026-08-14): official pages https://tnsocialwelfare.tn.gov.in/en/specilisationswomen-welfare/marriage-assistance-schemes , https://www.tnsocialwelfare.tn.gov.in/en/specilisations/women-welfare and https://www.tnsocialwelfare.tn.gov.in/ta/node/6521 currently state Rs. 72,000. The Phase 2 primary URL previously stated Rs. 1,20,000. No Government Order was found that supersedes one figure. annual_income_limit remains empty and UNRESOLVED.",HOLD,UNRESOLVED
TN-SW-006,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,Social Welfare and Women Empowerment Department,Marriage assistance,Marriage assistance for orphan girls.,,,Female,,,Official page states no educational qualification is prescribed; a higher amount is paid to graduates,,Bride at the time of marriage,,,,,,,,Beneficiary must be an orphan girl,,,"Rs. 25,000 plus 8 gram 22 carat gold coin. For a graduate, Rs. 50,000 plus 8 gram gold coin.",NEEDS VERIFICATION,Listed on TNeGA e-Sevai as SWL-104; detailed office procedure NEEDS VERIFICATION,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,2026-08-14,Official page states there is no income ceiling and no educational qualification prescribed. age_min left empty; department child-marriage page says marriage assistance is designed for girls who have completed 18 years.,CORE,PARTIALLY_VERIFIED
TN-SW-007,Dr. Muthulakshmi Reddy Ninaivu Inter-Caste Marriage Assistance Scheme,Social Welfare and Women Empowerment Department,Marriage assistance,Marriage assistance for inter-caste married couples.,,,Female,,,NEEDS VERIFICATION,,Inter-caste marriage,,,,,,,,Inter-caste married couple,,,"Rs. 25,000 of which Rs. 15,000 through ECS and Rs. 10,000 as National Saving Certificate, plus 8 gram 22 carat gold coin. Degree or diploma holders: Rs. 50,000 of which Rs. 30,000 through ECS and Rs. 20,000 as National Saving Certificate, plus 8 gram 22 carat gold coin.",NEEDS VERIFICATION,Listed on TNeGA e-Sevai as SWL-106; detailed office procedure NEEDS VERIFICATION,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,2026-08-14,"CONFLICT on the same official page: it states the bride should have studied 10th standard pass, and also that there is no income ceiling and no minimum educational qualification stipulated. education_requirement is marked NEEDS VERIFICATION. age_min left empty; department child-marriage page says marriage assistance is designed for girls who have completed 18 years. Phase 2.1 re-check (2026-08-14): the same official marriage-assistance pages still contain both statements (bride should have studied 10th standard pass, and no minimum educational qualification stipulated). No clarifying Government Order was found. The same pages also define inter-caste Category I (one spouse SC/ST) and Category II (one spouse FC/unreserved and the other BC/MBC). Education rule remains UNRESOLVED.",HOLD,UNRESOLVED
TN-HFW-001,Chief Minister's Comprehensive Health Insurance Scheme (CMCHIS),Health and Family Welfare Department,Health insurance,"State health insurance scheme for economically vulnerable families, operated with Ayushman Bharat Pradhan Mantri Jan Arogya Yojana.",,,,120000,,,,,,,,,,,,"Covered members are the eligible person, legal spouse, children, and dependent parents, and their names must appear on the family card",,,Enrolment for Chief Minister's Comprehensive Health Insurance coverage. Package and sum-insured details were not copied into this catalog from a secondary page.,Income certificate from the Village Administrative Officer; family card; Aadhaar identity card,Card issuing centre at the District Collector's office,https://www.cmchistn.com/eligibility,2026-08-14,"Official eligibility page cites G.O. (Ms) No. 560, Health and Family Welfare Department (HFW1-1), dated 16.12.2021, for the Rs. 1,20,000 annual family income limit. Supporting portal: https://www.cmchistn.com/. Sum insured and procedure list NEEDS VERIFICATION from a scheme-benefits official page before use in later phases. Phase 2.1 review: the official eligibility page states a Rs. 1,20,000 income rule, but the CMCHIS enrollment system also lists special categories (for example children from child-care institutions, Disabled Welfare Board, orphans, recognised press). Classified ADVANCED so those enrollment paths are not forced into the first ML feature set.",ADVANCED,PARTIALLY_VERIFIED
TN-REV-001,Chief Minister's Uzhavar Pathukappu Thittam 2011,Revenue and Disaster Management Department,Farmer social security,"Social security scheme for small and marginal farmers, agricultural labourers, inland fishing workers and plantation labourers, implemented in lieu of the 2006 agricultural labourers-farmers welfare scheme.",18,65,,,"Small and marginal farmers including tenants engaged in direct cultivation; agricultural labourers; inland fishing workers; plantation labourers. Allied activities listed include horticulture, sericulture, dairy, poultry, livestock breeding and inland fishing.",,,,,,,,,Wet land not exceeding 2.50 acres or dry land not exceeding 5.00 acres,,"Dependants who may be enrolled: non-earning wife or husband, children, deceased son's wife and children, and parents",,,"Marriage assistance Rs. 10,000 (women) / Rs. 8,000 (men); old-age pension Rs. 1,000 a month; temporary incapacitation pension Rs. 1,000 a month for TB, HIV, cancer and other terminal illness; orphan grant Rs. 1,000; accident death/specified injury relief up to Rs. 1,00,000; natural death Rs. 20,000; funeral expenses Rs. 2,500; educational assistance at rates published on the official page.",TNeGA e-Sevai list for CMUPT: applicant photo; Aadhaar card; Aadhaar consent form; smart or ration card or address proof; CMUPT card; self-declaration; bank passbook; any identity proof,Member registration under the scheme; no registration fee stated on https://oap.tn.gov.in/cmupt/. Related e-Sevai service listed by TNeGA.,https://www.landreforms.tn.gov.in/UPT.html,2026-08-14,"Implemented vide G.O. (Ms.) No. 265, Revenue [LR-I(2)] Department dated 10.09.2011. Supporting official page: https://oap.tn.gov.in/cmupt/, which also states cultivating tenants aged 18 to 65 who personally cultivate land not exceeding 2.50 acres wet or 5 acres dry. Old-age pension under this scheme is given through the Commissioner of Revenue Administration with effect from 1.4.2014.",CORE,VERIFIED
